0.4070868	0.2362202	0.1191832	0.1293034	0.0938632	0.1450464	0.1427508	0.1377472	0.133987	0.125388	0.1216968	0.1200818	
1.0937832	0.558851	0.556602	0.46559	0.430715	0.403747	0.4425184	0.4152856	0.4051934	0.3774052	0.3794404	0.3809334	
1.9052022	1.4103498	1.0329988	0.895754	0.883083	0.8648174	0.8972584	0.820875	0.813499	0.7662662	0.7725402	0.7604456	
3.6316786	2.5111496	1.9091866	1.5481538	1.4340788	1.4993042	1.5020828	1.3928906	1.3221538	1.27441	1.2869578	1.263289	
6.2298358	3.7344554	2.9771892	2.3199244	2.1266484	2.220891	2.2675012	2.068062	1.980582	1.9098458	1.921069	1.9492734	
7.4398042	4.9997078	4.135724	3.1844926	2.9543306	3.1121518	3.1542058	2.8458522	2.7509526	2.6820768	2.6935614	2.6925528	
10.055285	6.8022498	5.2268638	4.3256554	3.9238724	4.0993682	4.2330766	3.845559	3.6778138	3.5685162	3.5791386	3.5445644	
12.8123234	7.6822148	7.023647	5.5118882	4.962013	5.1901768	5.3650102	4.9373976	4.7257116	4.549266	4.6082242	4.571809	
16.2015754	10.5661146	8.3860596	6.959551	6.2022426	6.3978686	6.6804982	6.1248574	5.9008362	5.6928986	5.8067794	5.600407	
22.8870988	12.3470092	10.2837944	8.575945	7.5265192	7.7042254	8.1302114	7.4418008	7.2273678	6.9739174	6.9767076	6.7921516	
